Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,half_time_result_sum,final_result_sum,home_team_proportion,away_team_proportion,TimeNew,TimeSlot,Day,Month,Year,Weekday,Weekend,0.5_under_half,1.5_under_half,2.5_under_half,0.5_under_final,1.5_under_final,2.5_under_final,3.5_under_final,4.5_under_final,0.5_above_half,1.5_above_half,2.5_above_half,0.5_above_final,1.5_above_final,2.5_above_final,3.5_above_final,4.5_above_final,mutual_goal,MS_1_under_1_5,MS_2_under_1_5,MS_0_under_1_5,MS_1_above_1_5,MS_2_above_1_5,MS_0_above_1_5,MS_1_under_2_5,MS_2_under_2_5,MS_0_under_2_5,MS_1_above_2_5,MS_2_above_2_5,MS_0_above_2_5,MS_1_under_3_5,MS_2_under_3_5,MS_0_under_3_5,MS_1_above_3_5,MS_2_above_3_5,MS_0_above_3_5,MS_1_under_4_5,MS_2_under_4_5,MS_0_under_4_5,MS_1_above_4_5,MS_2_above_4_5,MS_0_above_4_5
2019-08-09,20:00,Liverpool,Norwich,4,1,1,4,0,1,15,12,7,5,9,9,11,2,0,2,0,0,4,5,46.666666666666664,41.66666666666667,20,Night,9,8,2019,4,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2019-08-10,12:30,West Ham,Man City,0,5,2,0,1,2,5,14,3,9,6,13,1,1,2,2,0,0,1,5,60.0,64.28571428571429,12,Morning,10,8,2019,5,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2019-08-10,15:00,Bournemouth,Sheffield United,1,1,0,0,0,0,13,8,3,3,10,19,3,4,2,1,0,0,0,2,23.076923076923077,37.5,15,Morning,10,8,2019,5,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2019-08-10,15:00,Burnley,Southampton,3,0,1,0,0,0,10,11,4,3,6,12,2,7,0,0,0,0,0,3,40.0,27.27272727272727,15,Morning,10,8,2019,5,0,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2019-08-10,15:00,Crystal Palace,Everton,0,0,0,0,0,0,6,10,2,3,16,14,6,2,2,1,0,1,0,0,33.33333333333333,30.0,15,Morning,10,8,2019,5,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2019-08-10,15:00,Watford,Brighton,0,3,2,0,1,2,11,5,3,3,15,11,5,2,0,1,0,0,1,3,27.27272727272727,60.0,15,Morning,10,8,2019,5,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2019-08-10,17:30,Tottenham,Aston Villa,3,1,1,0,1,2,31,7,7,4,13,9,14,0,1,0,0,0,1,4,22.58064516129032,57.14285714285714,17,Afternoon,10,8,2019,5,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2019-08-11,14:00,Leicester,Wolves,0,0,0,0,0,0,15,8,1,2,3,13,12,3,0,2,0,0,0,0,6.666666666666667,25.0,14,Morning,11,8,2019,6,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2019-08-11,14:00,Newcastle,Arsenal,0,1,2,0,0,0,9,8,2,2,12,7,5,3,1,3,0,0,0,1,22.22222222222222,25.0,14,Morning,11,8,2019,6,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2019-08-11,16:30,Man United,Chelsea,4,0,1,1,0,1,11,18,5,7,15,13,3,5,3,4,0,0,1,4,45.45454545454545,38.88888888888889,16,Afternoon,11,8,2019,6,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
